Orthogroup	Anaulaciulus_tonginus	Biomphalaria_straminea	Branchiostoma_floridae	Caenorhabditis_elegans	Carcinoscorpius_rotundicauda	Centruroides_sculpturatus	Drosophila_melanogaster	Eriocheir_sinensis	Glomeris_maerens	Helicorthomorpha_holstii	Homo_sapiens	Hypsibius_dujardini	Ixodes_scapularis	Lithobius_niger	Litopenaeus_vannamei	Magallana_hongkongensis	Niponia_nodulosa	Rhysida_immarginata	Stegodyphus_mimosarum	Strigamia_maritima	Tachypleus_tridentatus	Thereuonema_tuberculata	Tribolium_castaneum	Trigoniulus_corallinus	Total
OG0000000	124	3	3	1	94	50	4	10	61	41	4	2	44	199	21	5	83	166	75	67	88	171	5	37	1358
OG0000001	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1339	0	0	10	0	0	1353
OG0000002	35	35	45	4	63	43	57	45	36	34	36	42	90	124	72	22	51	49	40	36	64	68	33	33	1157
OG0000003	58	33	112	26	15	12	4	9	32	36	18	69	33	88	24	35	57	30	22	10	15	82	6	56	882
OG0000004	4	62	80	2	52	29	13	30	6	4	17	1	10	32	35	52	6	58	23	14	64	45	6	6	651
OG0000005	9	23	41	6	0	0	10	10	43	155	23	2	0	50	38	87	36	35	2	13	1	49	4	7	644
OG0000006	19	21	35	2	50	41	9	16	16	32	9	23	14	60	22	28	24	31	27	15	44	40	8	17	603
OG0000007	50	12	21	16	5	1	21	9	19	48	5	1	7	52	39	15	59	24	6	6	5	44	37	30	532
OG0000008	10	36	24	0	10	30	0	8	4	4	0	22	118	26	54	15	8	13	81	9	5	7	8	10	502
OG0000009	1	10	7	0	3	51	1	80	2	3	3	8	88	10	49	9	2	19	100	3	6	4	6	30	495
OG0000010	7	17	21	23	19	44	11	29	8	6	3	47	8	61	39	16	6	20	43	10	19	27	2	3	489
OG0000011	32	16	18	9	48	21	15	12	22	14	21	12	13	29	16	18	24	20	11	19	42	24	14	16	486
OG0000012	20	18	3	1	15	44	3	31	4	34	1	2	11	75	11	14	60	42	7	9	8	45	7	16	481
OG0000013	32	44	5	6	19	13	17	5	14	12	19	13	41	26	16	5	27	57	14	8	19	26	17	15	470
OG0000014	10	27	31	18	26	40	28	15	11	13	4	10	71	14	12	12	10	11	18	13	14	5	44	5	462
OG0000015	11	34	16	18	51	19	8	10	14	9	6	76	11	21	12	32	14	5	12	7	44	14	7	6	457
OG0000016	31	8	45	10	0	0	35	14	20	23	15	0	0	68	26	0	18	29	0	14	0	43	38	19	456
OG0000017	11	0	0	0	71	22	8	50	12	3	0	2	32	19	41	3	5	10	41	10	88	6	8	4	446
OG0000018	16	18	5	3	59	19	18	30	11	9	11	5	11	21	28	11	14	14	21	16	59	16	18	8	441
OG0000019	22	0	0	0	0	0	28	31	10	30	0	0	0	40	162	0	18	19	0	15	0	18	28	14	435
OG0000020	23	11	17	5	8	28	9	49	6	3	12	2	21	20	67	12	4	7	41	11	23	19	12	4	414
OG0000021	6	32	49	17	29	26	0	0	12	12	9	0	16	36	9	32	17	24	13	4	36	23	0	11	413
OG0000022	15	32	21	2	13	14	7	11	13	10	12	8	32	40	17	47	10	33	9	3	14	26	8	15	412
OG0000023	19	10	37	11	10	48	16	4	15	19	12	1	24	26	4	23	27	15	22	8	9	8	22	18	408
OG0000024	15	0	0	0	8	4	53	39	8	7	0	0	0	10	133	0	7	20	9	12	5	25	36	13	404
OG0000025	9	29	27	14	33	26	14	4	14	4	0	7	23	19	16	12	12	6	38	13	40	16	18	8	402
OG0000026	20	0	0	0	25	20	9	15	19	21	0	48	7	22	40	0	18	23	9	21	27	24	10	20	398
