	Anaulaciulus_tonginus	Biomphalaria_straminea	Branchiostoma_floridae	Caenorhabditis_elegans	Carcinoscorpius_rotundicauda	Centruroides_sculpturatus	Drosophila_melanogaster	Eriocheir_sinensis	Glomeris_maerens	Helicorthomorpha_holstii	Homo_sapiens	Hypsibius_dujardini	Ixodes_scapularis	Lithobius_niger	Litopenaeus_vannamei	Magallana_hongkongensis	Niponia_nodulosa	Rhysida_immarginata	Stegodyphus_mimosarum	Strigamia_maritima	Tachypleus_tridentatus	Thereuonema_tuberculata	Tribolium_castaneum	Trigoniulus_corallinus
Anaulaciulus_tonginus	0.0	15572.0	13952.0	8800.0	13261.0	12938.0	10562.0	14540.0	16908.0	15549.0	12428.0	9789.0	11693.0	14613.0	12239.0	12518.0	25619.0	13159.0	12113.0	11088.0	12751.0	13353.0	11018.0	14303.0
Biomphalaria_straminea	11680.0	0.0	14907.0	8418.0	11186.0	10737.0	8908.0	9819.0	10591.0	10142.0	12534.0	9212.0	10033.0	11584.0	10617.0	16489.0	11655.0	11046.0	10480.0	9082.0	11209.0	11193.0	9393.0	10053.0
Branchiostoma_floridae	9899.0	12161.0	0.0	7236.0	10258.0	9895.0	8206.0	8477.0	9406.0	9231.0	12390.0	7892.0	9529.0	10406.0	9975.0	13565.0	9961.0	9974.0	9325.0	8533.0	10294.0	10182.0	8501.0	9306.0
Caenorhabditis_elegans	5927.0	6408.0	6542.0	0.0	5897.0	5772.0	5518.0	5378.0	5746.0	5575.0	6223.0	5575.0	5724.0	5937.0	5953.0	6489.0	5968.0	5721.0	5712.0	5092.0	5838.0	5683.0	5550.0	5544.0
Carcinoscorpius_rotundicauda	17180.0	15612.0	16641.0	10644.0	0.0	18854.0	13906.0	13591.0	16627.0	15915.0	14803.0	12406.0	17267.0	17679.0	16110.0	15638.0	16898.0	17199.0	18316.0	14489.0	28145.0	17119.0	14541.0	16205.0
Centruroides_sculpturatus	12360.0	11758.0	12698.0	8011.0	13815.0	0.0	10265.0	9993.0	12049.0	11252.0	11316.0	8898.0	12870.0	13065.0	12003.0	11785.0	11839.0	12798.0	13981.0	10586.0	13858.0	12562.0	10939.0	11881.0
Drosophila_melanogaster	7447.0	6956.0	7555.0	5471.0	7334.0	7159.0	0.0	6322.0	7089.0	7002.0	6992.0	5895.0	6931.0	7387.0	7953.0	7004.0	7212.0	7373.0	6988.0	6372.0	7396.0	7430.0	8621.0	7010.0
Eriocheir_sinensis	12052.0	11589.0	11542.0	7568.0	9458.0	9308.0	8361.0	0.0	9824.0	8830.0	9977.0	7997.0	8550.0	9900.0	11097.0	9956.0	14411.0	8868.0	8928.0	7384.0	9111.0	9038.0	8546.0	7634.0
Glomeris_maerens	12123.0	9783.0	10267.0	6583.0	10069.0	9824.0	8131.0	8577.0	0.0	10494.0	9398.0	7462.0	9152.0	10864.0	9467.0	9486.0	12458.0	10264.0	9496.0	8503.0	9931.0	10445.0	8561.0	10071.0
Helicorthomorpha_holstii	12096.0	8589.0	9077.0	5877.0	9061.0	8742.0	7405.0	7638.0	10615.0	0.0	8393.0	6626.0	8325.0	9979.0	8489.0	8628.0	14404.0	9359.0	8378.0	7844.0	8866.0	9369.0	8020.0	10425.0
Homo_sapiens	10791.0	11719.0	13471.0	8131.0	10987.0	10681.0	9354.0	8739.0	10421.0	10334.0	0.0	8714.0	10549.0	10942.0	10513.0	12181.0	10606.0	10924.0	10200.0	9477.0	10881.0	10775.0	9746.0	10454.0
Hypsibius_dujardini	7162.0	7677.0	7971.0	6082.0	7164.0	7045.0	6346.0	6320.0	6903.0	6843.0	7308.0	0.0	6795.0	7620.0	7049.0	7694.0	7244.0	7191.0	6983.0	6257.0	7164.0	7075.0	6555.0	6642.0
Ixodes_scapularis	9912.0	9158.0	10486.0	6436.0	10698.0	11397.0	8141.0	8860.0	9402.0	8976.0	9212.0	7080.0	0.0	10917.0	9623.0	9809.0	9445.0	10961.0	11103.0	8782.0	10879.0	10008.0	8630.0	9233.0
Lithobius_niger	16849.0	15715.0	16677.0	10177.0	16003.0	15468.0	12627.0	13185.0	16256.0	14935.0	14825.0	11650.0	14852.0	0.0	15057.0	15650.0	16533.0	19405.0	15703.0	14824.0	16067.0	19161.0	13679.0	15041.0
Litopenaeus_vannamei	10522.0	9988.0	11093.0	7182.0	10691.0	10311.0	10184.0	12887.0	10263.0	9857.0	9859.0	8070.0	9906.0	11143.0	0.0	10301.0	10240.0	10690.0	10325.0	8861.0	10756.0	10934.0	10411.0	10164.0
Magallana_hongkongensis	10186.0	15773.0	15441.0	7687.0	10521.0	10008.0	8227.0	8700.0	9695.0	9407.0	11917.0	8439.0	9497.0	11001.0	10144.0	0.0	10134.0	10491.0	9801.0	8587.0	10513.0	10309.0	8681.0	9469.0
Niponia_nodulosa	26071.0	15537.0	13347.0	8402.0	13183.0	11798.0	9866.0	17125.0	18274.0	20101.0	11798.0	9360.0	10779.0	14372.0	11321.0	11820.0	0.0	12246.0	11096.0	10100.0	11607.0	12428.0	10275.0	12555.0
Rhysida_immarginata	11560.0	10536.0	11585.0	6852.0	11120.0	11321.0	8702.0	8578.0	11070.0	10518.0	10252.0	8072.0	10482.0	14527.0	10464.0	10516.0	11116.0	0.0	11195.0	10444.0	11203.0	13292.0	9402.0	10847.0
Stegodyphus_mimosarum	10962.0	10769.0	11581.0	7354.0	11894.0	13447.0	9147.0	9347.0	10926.0	10220.0	10354.0	8466.0	10996.0	12120.0	11174.0	12259.0	10634.0	12230.0	0.0	9436.0	12093.0	12110.0	9752.0	10550.0
Strigamia_maritima	8126.0	7285.0	8046.0	5102.0	7890.0	7771.0	6576.0	6322.0	7956.0	7637.0	7256.0	5933.0	7428.0	9730.0	7532.0	7489.0	8128.0	9317.0	7742.0	0.0	8145.0	9083.0	6995.0	7657.0
