	Anaulaciulus_tonginus	Biomphalaria_straminea	Branchiostoma_floridae	Caenorhabditis_elegans	Carcinoscorpius_rotundicauda	Centruroides_sculpturatus	Drosophila_melanogaster	Eriocheir_sinensis	Glomeris_maerens	Helicorthomorpha_holstii	Homo_sapiens	Hypsibius_dujardini	Ixodes_scapularis	Lithobius_niger	Litopenaeus_vannamei	Magallana_hongkongensis	Niponia_nodulosa	Rhysida_immarginata	Stegodyphus_mimosarum	Strigamia_maritima	Tachypleus_tridentatus	Thereuonema_tuberculata	Tribolium_castaneum	Trigoniulus_corallinus
Anaulaciulus_tonginus	0.0	2733.0	2050.0	1084.0	3504.0	3053.0	1026.0	3065.0	1939.0	1629.0	3127.0	1453.0	1346.0	3960.0	2408.0	2198.0	5312.0	2189.0	2595.0	1251.0	3361.0	2437.0	960.0	1164.0
Biomphalaria_straminea	2417.0	0.0	2533.0	1140.0	2990.0	2490.0	866.0	1952.0	1733.0	1078.0	3092.0	1459.0	1255.0	3253.0	2123.0	3305.0	2374.0	1833.0	2298.0	973.0	2878.0	2188.0	790.0	852.0
Branchiostoma_floridae	1860.0	2550.0	0.0	1011.0	2347.0	1993.0	1006.0	1820.0	1503.0	1298.0	2547.0	1224.0	1350.0	2277.0	1803.0	3061.0	1943.0	1564.0	1800.0	1128.0	2331.0	1810.0	913.0	1058.0
Caenorhabditis_elegans	874.0	978.0	831.0	0.0	1160.0	911.0	433.0	773.0	623.0	464.0	1069.0	775.0	585.0	992.0	817.0	912.0	812.0	585.0	837.0	387.0	1149.0	665.0	426.0	381.0
Carcinoscorpius_rotundicauda	4409.0	3960.0	2787.0	1436.0	0.0	5840.0	1539.0	2914.0	3439.0	1935.0	6631.0	2208.0	1941.0	6396.0	3826.0	3115.0	4191.0	3059.0	4466.0	1934.0	1025.0	3809.0	1228.0	1556.0
Centruroides_sculpturatus	2793.0	2605.0	2150.0	1040.0	4286.0	0.0	1260.0	2016.0	2094.0	1225.0	3486.0	1363.0	1795.0	4092.0	2512.0	2132.0	2477.0	2187.0	2428.0	1403.0	4263.0	2619.0	1314.0	1171.0
Drosophila_melanogaster	810.0	765.0	757.0	483.0	1045.0	989.0	0.0	777.0	580.0	533.0	944.0	549.0	592.0	984.0	941.0	589.0	742.0	750.0	809.0	477.0	1005.0	940.0	748.0	401.0
Eriocheir_sinensis	2678.0	2025.0	1617.0	839.0	1980.0	1866.0	793.0	0.0	985.0	731.0	2086.0	1133.0	1101.0	2193.0	1431.0	1771.0	2441.0	1181.0	1689.0	678.0	2013.0	1403.0	779.0	570.0
Glomeris_maerens	1546.0	1536.0	1268.0	576.0	2187.0	1824.0	534.0	1068.0	0.0	730.0	2191.0	873.0	813.0	2252.0	1482.0	1278.0	1527.0	1209.0	1695.0	666.0	2085.0	1443.0	523.0	610.0
Helicorthomorpha_holstii	1491.0	1065.0	1131.0	480.0	1426.0	1178.0	564.0	794.0	870.0	0.0	1340.0	698.0	784.0	1752.0	1040.0	852.0	1203.0	900.0	984.0	692.0	1379.0	992.0	659.0	818.0
Homo_sapiens	2551.0	2661.0	1713.0	1131.0	4558.0	3259.0	934.0	1926.0	2241.0	1214.0	0.0	1413.0	1167.0	3616.0	2441.0	2261.0	2393.0	1846.0	3003.0	1187.0	4523.0	2116.0	866.0	987.0
Hypsibius_dujardini	1230.0	1308.0	1141.0	779.0	1599.0	1330.0	552.0	1038.0	855.0	765.0	1508.0	0.0	787.0	1700.0	1154.0	1163.0	1190.0	954.0	1289.0	617.0	1536.0	1039.0	586.0	612.0
Ixodes_scapularis	1667.0	1603.0	2017.0	944.0	2124.0	2429.0	853.0	1651.0	1201.0	950.0	1512.0	956.0	0.0	2375.0	1596.0	1589.0	1571.0	1801.0	1959.0	1217.0	1967.0	1452.0	1048.0	1012.0
