	Anaulaciulus_tonginus	Biomphalaria_straminea	Branchiostoma_floridae	Caenorhabditis_elegans	Carcinoscorpius_rotundicauda	Centruroides_sculpturatus	Drosophila_melanogaster	Eriocheir_sinensis	Glomeris_maerens	Helicorthomorpha_holstii	Homo_sapiens	Hypsibius_dujardini	Ixodes_scapularis	Lithobius_niger	Litopenaeus_vannamei	Magallana_hongkongensis	Niponia_nodulosa	Rhysida_immarginata	Stegodyphus_mimosarum	Strigamia_maritima	Tachypleus_tridentatus	Thereuonema_tuberculata	Tribolium_castaneum	Trigoniulus_corallinus
Anaulaciulus_tonginus	0.0	1258.0	528.0	329.0	2419.0	1674.0	353.0	1220.0	920.0	741.0	1454.0	503.0	554.0	2425.0	1123.0	996.0	3368.0	1004.0	1369.0	494.0	2317.0	1276.0	235.0	405.0
Biomphalaria_straminea	2050.0	0.0	692.0	399.0	2141.0	1691.0	389.0	1316.0	1188.0	642.0	1621.0	616.0	568.0	2411.0	1229.0	1516.0	1943.0	1076.0	1496.0	552.0	2055.0	1343.0	290.0	407.0
Branchiostoma_floridae	2157.0	2189.0	0.0	506.0	2673.0	2201.0	514.0	1450.0	1559.0	804.0	2332.0	782.0	712.0	3162.0	1632.0	1817.0	1897.0	1442.0	2025.0	752.0	2579.0	1769.0	380.0	535.0
Caenorhabditis_elegans	1379.0	1297.0	552.0	0.0	1797.0	1461.0	392.0	963.0	1004.0	550.0	1476.0	586.0	496.0	1960.0	1092.0	997.0	1237.0	897.0	1254.0	516.0	1706.0	1098.0	285.0	374.0
Carcinoscorpius_rotundicauda	1329.0	1080.0	436.0	231.0	0.0	1167.0	262.0	759.0	740.0	442.0	776.0	367.0	451.0	1828.0	897.0	844.0	1236.0	843.0	847.0	385.0	2560.0	1026.0	183.0	298.0
Centruroides_sculpturatus	1483.0	1194.0	481.0	301.0	2522.0	0.0	289.0	827.0	892.0	520.0	1218.0	461.0	576.0	2113.0	1048.0	940.0	1219.0	960.0	1227.0	494.0	2405.0	1128.0	211.0	363.0
Drosophila_melanogaster	1722.0	1406.0	584.0	426.0	2483.0	1926.0	0.0	1045.0	1226.0	626.0	1765.0	638.0	602.0	2525.0	1420.0	1103.0	1490.0	1132.0	1631.0	599.0	2391.0	1360.0	363.0	418.0
Eriocheir_sinensis	1912.0	1223.0	491.0	362.0	2070.0	1516.0	337.0	0.0	1006.0	550.0	1296.0	524.0	588.0	2207.0	1715.0	902.0	2334.0	978.0	1374.0	515.0	1998.0	1200.0	247.0	388.0
Glomeris_maerens	2588.0	1390.0	579.0	394.0	2620.0	1881.0	396.0	1213.0	0.0	851.0	1544.0	586.0	636.0	2753.0	1277.0	1098.0	2787.0	1176.0	1559.0	593.0	2518.0	1439.0	265.0	487.0
Helicorthomorpha_holstii	2391.0	1494.0	630.0	417.0	2799.0	2086.0	437.0	1216.0	1162.0	0.0	1883.0	616.0	665.0	2845.0	1421.0	1212.0	3112.0	1260.0	1742.0	611.0	2710.0	1566.0	293.0	467.0
