	Anaulaciulus_tonginus	Biomphalaria_straminea	Branchiostoma_floridae	Caenorhabditis_elegans	Carcinoscorpius_rotundicauda	Centruroides_sculpturatus	Drosophila_melanogaster	Eriocheir_sinensis	Glomeris_maerens	Helicorthomorpha_holstii	Homo_sapiens	Hypsibius_dujardini	Ixodes_scapularis	Lithobius_niger	Litopenaeus_vannamei	Magallana_hongkongensis	Niponia_nodulosa	Rhysida_immarginata	Stegodyphus_mimosarum	Strigamia_maritima	Tachypleus_tridentatus	Thereuonema_tuberculata	Tribolium_castaneum	Trigoniulus_corallinus
Anaulaciulus_tonginus	0.0	3629.0	4232.0	2723.0	3167.0	3552.0	3921.0	3900.0	5820.0	6152.0	2944.0	2966.0	4422.0	3751.0	3780.0	3669.0	7444.0	4783.0	3724.0	4153.0	3133.0	4516.0	4143.0	6316.0
Biomphalaria_straminea	3629.0	0.0	4981.0	2996.0	3036.0	3268.0	3752.0	3047.0	3877.0	4288.0	3403.0	3190.0	4096.0	2888.0	3556.0	5314.0	3800.0	3970.0	3293.0	3677.0	3059.0	3733.0	4044.0	4406.0
Branchiostoma_floridae	4232.0	4981.0	0.0	3764.0	3820.0	4086.0	4868.0	3484.0	4449.0	5152.0	4966.0	3998.0	5453.0	3366.0	4425.0	5682.0	4236.0	4957.0	3838.0	4628.0	3891.0	4661.0	5089.0	5526.0
Caenorhabditis_elegans	2723.0	2996.0	3764.0	0.0	2315.0	2572.0	3449.0	2549.0	2991.0	3417.0	2672.0	3246.0	3505.0	2136.0	2945.0	3256.0	2875.0	3139.0	2734.0	3008.0	2376.0	2862.0	3603.0	3553.0
Carcinoscorpius_rotundicauda	3167.0	3036.0	3820.0	2315.0	0.0	3636.0	3116.0	2559.0	3453.0	3631.0	3153.0	2552.0	3808.0	2686.0	3073.0	3225.0	3204.0	3461.0	3762.0	3023.0	17368.0	3282.0	3290.0	3745.0
Centruroides_sculpturatus	3552.0	3268.0	4086.0	2572.0	3636.0	0.0	3517.0	2838.0	3876.0	4059.0	3033.0	2832.0	4703.0	3007.0	3445.0	3494.0	3593.0	4038.0	5150.0	3529.0	3714.0	3793.0	3754.0	4282.0
Drosophila_melanogaster	3921.0	3752.0	4868.0	3449.0	3116.0	3517.0	0.0	3574.0	4188.0	4692.0	3308.0	3668.0	4664.0	3016.0	4625.0	4096.0	3922.0	4365.0	3633.0	4127.0	3239.0	4106.0	6111.0	4917.0
Eriocheir_sinensis	3900.0	3047.0	3484.0	2549.0	2559.0	2838.0	3574.0	0.0	3853.0	4116.0	2377.0	2718.0	3590.0	2714.0	4973.0	3174.0	4754.0	3626.0	3020.0	3297.0	2517.0	3399.0	3856.0	3943.0
Glomeris_maerens	5820.0	3877.0	4449.0	2991.0	3453.0	3876.0	4188.0	3853.0	0.0	6189.0	3171.0	3289.0	4743.0	4167.0	4102.0	3952.0	5924.0	5322.0	4063.0	4666.0	3404.0	5016.0	4516.0	6180.0
Helicorthomorpha_holstii	6152.0	4288.0	5152.0	3417.0	3631.0	4059.0	4692.0	4116.0	6189.0	0.0	3589.0	3764.0	5228.0	3925.0	4487.0	4505.0	7659.0	5354.0	4191.0	4942.0	3613.0	4991.0	5109.0	6946.0
Homo_sapiens	2944.0	3403.0	4966.0	2672.0	3153.0	3033.0	3308.0	2377.0	3171.0	3589.0	0.0	2869.0	3884.0	2416.0	3121.0	3768.0	2968.0	3460.0	2850.0	3180.0	3189.0	3209.0	3551.0	3855.0
Hypsibius_dujardini	2966.0	3190.0	3998.0	3246.0	2552.0	2832.0	3668.0	2718.0	3289.0	3764.0	2869.0	0.0	3780.0	2440.0	3161.0	3430.0	3143.0	3464.0	2985.0	3334.0	2573.0	3200.0	3876.0	3912.0
Ixodes_scapularis	4422.0	4096.0	5453.0	3505.0	3808.0	4703.0	4664.0	3590.0	4743.0	5228.0	3884.0	3780.0	0.0	3539.0	4376.0	4431.0	4466.0	5024.0	4843.0	4568.0	3923.0	4591.0	5047.0	5538.0
Lithobius_niger	3751.0	2888.0	3366.0	2136.0	2686.0	3007.0	3016.0	2714.0	4167.0	3925.0	2416.0	2440.0	3539.0	0.0	3112.0	3101.0	3714.0	5803.0	3334.0	4250.0	2663.0	5204.0	3295.0	4156.0
Litopenaeus_vannamei	3780.0	3556.0	4425.0	2945.0	3073.0	3445.0	4625.0	4973.0	4102.0	4487.0	3121.0	3161.0	4376.0	3112.0	0.0	3804.0	3841.0	4305.0	3608.0	3904.0	3145.0	4057.0	4614.0	4729.0
Magallana_hongkongensis	3669.0	5314.0	5682.0	3256.0	3225.0	3494.0	4096.0	3174.0	3952.0	4505.0	3768.0	3430.0	4431.0	3101.0	3804.0	0.0	3801.0	4351.0	3482.0	4041.0	3287.0	4122.0	4402.0	4793.0
Niponia_nodulosa	7444.0	3800.0	4236.0	2875.0	3204.0	3593.0	3922.0	4754.0	5924.0	7659.0	2968.0	3143.0	4466.0	3714.0	3841.0	3801.0	0.0	4737.0	3756.0	4235.0	3166.0	4450.0	4275.0	6072.0
Rhysida_immarginata	4783.0	3970.0	4957.0	3139.0	3461.0	4038.0	4365.0	3626.0	5322.0	5354.0	3460.0	3464.0	5024.0	5803.0	4305.0	4351.0	4737.0	0.0	4357.0	5773.0	3564.0	6504.0	4818.0	5800.0
Stegodyphus_mimosarum	3724.0	3293.0	3838.0	2734.0	3762.0	5150.0	3633.0	3020.0	4063.0	4191.0	2850.0	2985.0	4843.0	3334.0	3608.0	3482.0	3756.0	4357.0	0.0	3707.0	3842.0	4052.0	3918.0	4471.0
Strigamia_maritima	4153.0	3677.0	4628.0	3008.0	3023.0	3529.0	4127.0	3297.0	4666.0	4942.0	3180.0	3334.0	4568.0	4250.0	3904.0	4041.0	4235.0	5773.0	3707.0	0.0	3117.0	5217.0	4511.0	5219.0
Tachypleus_tridentatus	3133.0	3059.0	3891.0	2376.0	17368.0	3714.0	3239.0	2517.0	3404.0	3613.0	3189.0	2573.0	3923.0	2663.0	3145.0	3287.0	3166.0	3564.0	3842.0	3117.0	0.0	3340.0	3380.0	3885.0
