Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	780	603
OG0000001	1285	1280
OG0000002	652	570
OG0000003	753	725
OG0000004	492	456
OG0000005	527	483
OG0000006	364	319
OG0000007	423	405
OG0000008	344	289
OG0000009	367	302
OG0000010	337	296
OG0000011	131	95
OG0000012	379	323
OG0000013	356	339
OG0000014	392	379
OG0000015	234	181
OG0000016	398	386
OG0000017	258	193
OG0000018	204	164
OG0000019	324	315
OG0000020	250	204
OG0000021	289	257
OG0000022	254	243
OG0000023	334	302
OG0000024	303	290
OG0000025	278	242
OG0000026	168	127
OG0000027	310	247
OG0000028	204	180
OG0000029	294	261
OG0000030	144	129
OG0000031	217	182
OG0000032	192	144
OG0000033	205	191
OG0000034	264	248
OG0000035	258	236
OG0000036	168	139
OG0000037	342	338
OG0000038	147	110
OG0000039	230	171
OG0000040	256	185
OG0000041	259	249
OG0000042	169	125
OG0000043	191	151
OG0000044	200	181
OG0000045	173	156
OG0000046	98	85
OG0000047	176	161
OG0000048	191	168
OG0000049	163	131
OG0000050	80	72
OG0000051	152	137
OG0000052	301	301
OG0000053	156	129
OG0000054	208	175
OG0000055	167	131
OG0000056	212	202
OG0000057	175	157
OG0000058	106	85
OG0000059	190	174
OG0000060	119	90
OG0000061	208	196
OG0000062	256	247
OG0000063	186	154
OG0000064	181	175
OG0000065	265	265
OG0000066	87	77
OG0000067	167	152
OG0000068	160	147
OG0000069	255	255
OG0000070	169	160
OG0000071	105	72
OG0000072	183	168
OG0000073	114	105
OG0000074	147	122
OG0000075	147	109
OG0000076	181	167
OG0000077	176	135
OG0000078	197	188
OG0000079	143	114
OG0000080	234	234
OG0000081	99	82
OG0000082	133	125
OG0000083	68	54
OG0000084	144	122
OG0000085	94	83
OG0000086	170	129
OG0000087	31	19
OG0000088	130	120
OG0000089	128	111
OG0000090	221	215
OG0000091	111	97
OG0000092	164	147
OG0000093	193	187
OG0000094	208	190
OG0000095	162	146
OG0000096	155	139
OG0000097	179	173
OG0000098	114	100
OG0000099	214	214
OG0000100	137	126
OG0000101	105	87
OG0000102	70	52
OG0000103	130	117
OG0000104	111	92
OG0000105	123	116
OG0000106	155	134
OG0000107	59	42
OG0000108	109	90
OG0000109	142	126
OG0000110	127	90
OG0000111	171	154
OG0000112	150	114
OG0000113	141	128
OG0000114	89	64
OG0000115	114	98
OG0000116	168	157
OG0000117	168	164
OG0000118	140	115
OG0000119	132	118
OG0000120	67	51
OG0000121	110	101
OG0000122	71	60
OG0000123	107	78
OG0000124	175	163
OG0000125	100	89
OG0000126	88	73
OG0000127	93	78
OG0000128	86	80
OG0000129	126	121
OG0000130	87	66
OG0000131	111	98
OG0000132	137	109
OG0000133	127	114
OG0000134	181	170
OG0000135	129	100
OG0000136	116	90
OG0000137	55	40
OG0000138	158	140
OG0000139	180	180
OG0000140	53	44
OG0000141	141	120
OG0000142	141	138
OG0000143	72	67
OG0000144	61	50
OG0000145	150	147
OG0000146	120	117
OG0000147	124	109
OG0000148	96	79
OG0000149	122	104
OG0000150	15	9
OG0000151	149	142
OG0000152	110	84
OG0000153	115	99
OG0000154	170	170
OG0000155	56	48
OG0000156	82	78
OG0000157	47	35
OG0000158	164	164
OG0000159	97	81
OG0000160	53	48
OG0000161	156	141
OG0000162	120	100
OG0000163	95	87
OG0000164	147	136
OG0000165	165	165
OG0000166	109	92
OG0000167	126	120
OG0000168	92	74
OG0000169	113	106
OG0000170	124	111
OG0000171	86	76
OG0000172	102	97
OG0000173	129	121
OG0000174	88	84
OG0000175	63	45
OG0000176	81	71
OG0000177	82	75
OG0000178	91	82
OG0000179	120	110
OG0000180	81	68
OG0000181	78	71
OG0000182	86	80
OG0000183	141	141
OG0000184	102	80
OG0000185	150	150
OG0000186	62	45
OG0000187	39	30
OG0000188	79	69
OG0000189	100	89
OG0000190	118	117
OG0000191	117	95
OG0000192	62	55
OG0000193	52	48
OG0000194	107	81
OG0000195	155	155
OG0000196	59	45
OG0000197	77	60
OG0000198	38	24
OG0000199	99	85
OG0000200	37	26
OG0000201	84	74
OG0000202	68	60
OG0000203	62	45
OG0000204	107	95
OG0000205	86	77
OG0000206	106	104
OG0000207	99	95
OG0000208	73	58
OG0000209	119	109
OG0000210	138	116
OG0000211	101	95
OG0000212	98	97
OG0000213	113	103
OG0000214	58	55
OG0000215	78	59
OG0000216	123	123
OG0000217	145	145
OG0000218	48	38
OG0000219	76	62
OG0000220	92	72
OG0000221	87	83
OG0000222	98	90
OG0000223	87	80
OG0000224	60	47
OG0000225	90	71
OG0000226	99	89
OG0000227	139	139
OG0000228	123	114
OG0000229	75	62
OG0000230	139	139
OG0000231	103	95
OG0000232	59	44
OG0000233	139	139
OG0000234	140	140
OG0000235	116	115
OG0000236	105	98
OG0000237	81	74
OG0000238	72	57
OG0000239	112	88
OG0000240	73	61
OG0000241	96	90
OG0000242	68	63
OG0000243	102	91
OG0000244	56	44
OG0000245	135	135
OG0000246	61	55
OG0000247	37	32
OG0000248	45	41
OG0000249	134	134
OG0000250	61	57
OG0000251	80	57
OG0000252	74	67
OG0000253	71	59
OG0000254	130	130
OG0000255	128	128
OG0000256	38	23
OG0000257	43	34
OG0000258	99	94
OG0000259	80	74
OG0000260	73	68
OG0000261	104	103
OG0000262	79	42
OG0000263	64	50
OG0000264	72	62
OG0000265	41	29
OG0000266	87	78
OG0000267	42	33
OG0000268	64	50
OG0000269	56	45
OG0000270	82	75
OG0000271	54	52
OG0000272	71	58
OG0000273	68	57
OG0000274	45	35
OG0000275	60	41
OG0000276	34	29
OG0000277	76	58
OG0000278	60	51
OG0000279	96	78
OG0000280	41	35
OG0000281	85	75
OG0000282	124	124
OG0000283	68	52
OG0000284	46	34
OG0000285	64	61
OG0000286	78	62
OG0000287	86	69
OG0000288	49	39
OG0000289	116	116
OG0000290	119	119
OG0000291	77	68
OG0000292	61	45
OG0000293	48	44
OG0000294	60	49
OG0000295	66	60
OG0000296	64	55
OG0000297	59	57
OG0000298	35	29
OG0000299	32	26
OG0000300	39	34
OG0000301	64	57
OG0000302	104	104
OG0000303	72	67
OG0000304	70	64
OG0000305	79	77
OG0000306	44	33
OG0000307	111	109
OG0000308	68	61
OG0000309	43	37
OG0000310	49	39
OG0000311	47	37
OG0000312	57	44
OG0000313	72	60
OG0000314	68	62
OG0000315	65	55
OG0000316	33	25
OG0000317	62	55
OG0000318	29	25
OG0000319	65	48
OG0000320	26	21
OG0000321	45	39
OG0000322	41	28
OG0000323	62	52
OG0000324	78	75
OG0000325	92	78
OG0000326	48	42
OG0000327	57	50
OG0000328	47	41
OG0000329	92	80
OG0000330	112	112
OG0000331	45	39
OG0000332	43	40
OG0000333	46	34
OG0000334	35	28
OG0000335	76	56
OG0000336	87	80
OG0000337	66	59
OG0000338	84	84
OG0000339	39	33
OG0000340	59	48
OG0000341	88	79
OG0000342	80	73
OG0000343	33	25
OG0000344	47	37
OG0000345	44	38
OG0000346	67	58
OG0000347	57	47
OG0000348	58	51
OG0000349	58	55
OG0000350	61	53
OG0000351	34	26
OG0000352	76	74
OG0000353	47	42
OG0000354	68	56
OG0000355	107	107
OG0000356	28	24
OG0000357	43	35
OG0000358	43	41
OG0000359	64	59
OG0000360	69	67
OG0000361	49	44
OG0000362	76	74
OG0000363	37	31
OG0000364	61	51
OG0000365	54	50
OG0000366	72	67
OG0000367	46	37
OG0000368	65	52
OG0000369	52	37
OG0000370	38	37
OG0000371	105	103
OG0000372	61	50
OG0000373	43	35
OG0000374	33	25
OG0000375	29	23
OG0000376	36	31
OG0000377	35	25
OG0000378	53	46
OG0000379	65	61
OG0000380	65	58
OG0000381	32	29
